Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
HerMES: Candidate High-redshift Galaxies Discovered with Herschel/SPIRE,Dowell C. | Conley A. | Glenn J. | et. al.,ApJ 780 75,2014 01,2014,arXiv:1310.7583,2014ApJ...780...75D,10.1088/0004-637X/780/1/75,"{'lris': 4, 'osiris': 3}"
CO emission and associated H I absorption from a massive gas reservoir surrounding the z = 3 radio galaxy B3 J2330+3927,De Breuck C. | Neri R. | Morganti R. | et. al.,A&A 401 911,2003 04,2003,arXiv:astro-ph/0302154,2003A&A...401..911D,10.1051/0004-6361:20030171,"{'nirc': 5, 'lris': 5}"
Pinpointing the Molecular Gas within an Lyα Blob at z ~ 2.7,Yang Y. | Walter F. | Decarli R. | et. al.,ApJ 784 171,2014 04,2014,arXiv:1402.2686,2014ApJ...784..171Y,10.1088/0004-637X/784/2/171,{'lris': 8}
Keck Adaptive Optics Imaging of Nearby Young Stars: Detection of Close Multiple Systems,Brandeker A. | Jayawardhana R. | Najita J.,AJ 126 2009,2003 10,2003,arXiv:astro-ph/0306537,2003AJ....126.2009B,10.1086/378057,{}
Methane in Oort cloud comets,Gibb E. | Mumma M. | Dello Russo N. | et. al.,Icar 165 391,2003 10,2003,,2003Icar..165..391G,10.1016/S0019-1035(03)00201-X,{'nirspec': 14}
Ultraluminous Infrared Mergers: Elliptical Galaxies in Formation?,Genzel R. | Tacconi L. | Rigopoulou D. | et. al.,ApJ 563 527,2001 12,2001,arXiv:astro-ph/0106032,2001ApJ...563..527G,10.1086/323772,{'nirspec': 11}
Conjugate observations of Saturn’s northern and southern H3+ aurorae,O'Donoghue J. | Stallard T. | Melin H. | et. al.,Icar 229 214,2014 02,2014,arXiv:1311.1927,2014Icar..229..214O,10.1016/j.icarus.2013.11.009,{'nirspec': 3}
PTF12os and iPTF13bvn. Two stripped-envelope supernovae from low-mass progenitors in NGC 5806,Fremling C. | Sollerman J. | Taddia F. | et. al.,A&A 593 A68,2016 09,2016,arXiv:1606.03074,2016A&A...593A..68F,10.1051/0004-6361/201628275,{'deimos': 1}
The Next Generation Virgo Cluster Survey. XV. The Photometric Redshift Estimation for Background Sources,Raichoor A. | Mei S. | Erben T. | et. al.,ApJ 797 102,2014 12,2014,arXiv:1410.2276,2014ApJ...797..102R,10.1088/0004-637X/797/2/102,{}
The altitude of Neptune cloud features from high-spatial-resolution near-infrared spectra,Gibbard S. | de Pater I. | Roe H. | et. al.,Icar 166 359,2003 12,2003,,2003Icar..166..359G,10.1016/j.icarus.2003.07.006,"{'nirspec': 14, 'nirc': 11}"
Searching for Scatterers: High-Contrast Imaging of Young Stars Hosting Wide-Separation Planetary-Mass Companions,Bryan M. | Bowler B. | Knutson H. | et. al.,ApJ 827 100,2016 08,2016,arXiv:1606.06744,2016ApJ...827..100B,10.3847/0004-637X/827/2/100,{'nirc': 7}
SN 2017ens: The Metamorphosis of a Luminous Broadlined Type Ic Supernova into an SN IIn,Chen T. | Inserra C. | Fraser M. | et. al.,ApJL 867 L31,2018 11,2018,arXiv:1808.04382,2018ApJ...867L..31C,10.3847/2041-8213/aaeb2e,{'lris': 1}
Spitzer Imaging of Strongly lensed Herschel-selected Dusty Star-forming Galaxies,Ma B. | Cooray A. | Calanog J. | et. al.,ApJ 814 17,2015 11,2015,arXiv:1504.05254,2015ApJ...814...17M,10.1088/0004-637X/814/1/17,{'nirc': 6}
